,Class,Text,text_message,word_tokens,stemmed,final_text,labels
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,"['im', 'gonna', 'be', 'home', 'soon', 'and', 'i', 'dont', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', 'k', 'ive', 'cried', 'enough', 'today']","['im', 'gonna', 'be', 'home', 'soon', 'and', 'i', 'dont', 'want', 'to', 'talk', 'about', 'thi', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']",im gonna be home soon and dont want to talk about thi stuff anymor tonight ive cri enough today,0
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,"['six', 'chances', 'to', 'win', 'cash', 'from', '100', 'to', '20000', 'pounds', 'txt', 'csh11', 'and', 'send', 'to', '87575', 'cost', '150pday', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']","['six', 'chanc', 'to', 'win', 'cash', 'from', '100', 'to', '20000', 'pound', 'txt', 'csh11', 'and', 'send', 'to', '87575', 'cost', '150pday', '6day', '16', 'tsandc', 'appli', 'repli', 'hl', '4', 'info']",six chanc to win cash from 100 to 20000 pound txt csh11 and send to 87575 cost 150pday 6day 16 tsandc appli repli hl info,1
12,spam,"URGENT! You have won a 1 week FREE membership in our Ã¥Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won a 1 week free membership in our ã¥â£100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,"['urgent', 'you', 'have', 'won', 'a', '1', 'week', 'free', 'membership', 'in', 'our', 'ã¥â£100000', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', 'you', 'have', 'won', 'a', '1', 'week', 'free', 'membership', 'in', 'our', 'ã¥â£100000', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']",urgent you have won week free membership in our ã¥â£100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,1
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,"['ive', 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'you', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times']","['ive', 'been', 'search', 'for', 'the', 'right', 'word', 'to', 'thank', 'you', 'for', 'thi', 'breather', 'i', 'promis', 'i', 'wont', 'take', 'your', 'help', 'for', 'grant', 'and', 'will', 'fulfil', 'my', 'promis', 'you', 'have', 'been', 'wonder', 'and', 'a', 'bless', 'at', 'all', 'time']",ive been search for the right word to thank you for thi breather promis wont take your help for grant and will fulfil my promis you have been wonder and bless at all time,0
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will,"['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']","['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']",have date on sunday with will,0
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,"['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'messag', 'or', 'click', 'here', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']",xxxmobilemovieclub to use your credit click the wap link in the next txt messag or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,1
16,ham,Oh k...i'm watching here:),oh kim watching here,"['oh', 'kim', 'watching', 'here']","['oh', 'kim', 'watch', 'here']",oh kim watch here,0
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,"['eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', 'yes', 'i', 'did', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']","['eh', 'u', 'rememb', 'how', '2', 'spell', 'hi', 'name', 'ye', 'i', 'did', 'he', 'v', 'naughti', 'make', 'until', 'i', 'v', 'wet']",eh rememb how spell hi name ye did he naughti make until wet,0
18,ham,Fine if thatÃ¥Ãs the way u feel. ThatÃ¥Ãs the way its gota b,fine if thatã¥ãs the way u feel thatã¥ãs the way its gota b,"['fine', 'if', 'thatã¥ã\x95s', 'the', 'way', 'u', 'feel', 'thatã¥ã\x95s', 'the', 'way', 'its', 'gota', 'b']","['fine', 'if', 'thatã¥ã\x95', 'the', 'way', 'u', 'feel', 'thatã¥ã\x95', 'the', 'way', 'it', 'gota', 'b']",fine if thatã¥ã the way feel thatã¥ã the way it gota,0
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ÃÂ¼1.20 POBOXox36504W45WQ 16+",england v macedonia  dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txtãâ¼120 poboxox36504w45wq 16,"['england', 'v', 'macedonia', '', 'dont', 'miss', 'the', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'trywales', 'scotland', '4txtã\x8câ¼120', 'poboxox36504w45wq', '16']","['england', 'v', 'macedonia', '', 'dont', 'miss', 'the', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'trywal', 'scotland', '4txtã\x8câ¼120', 'poboxox36504w45wq', '16']",england macedonia dont miss the goalsteam news txt ur nation team to 87077 eg england to 87077 trywal scotland 4txtãâ¼120 poboxox36504w45wq 16,1
20,ham,Is that seriously how you spell his name?,is that seriously how you spell his name,"['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']","['is', 'that', 'serious', 'how', 'you', 'spell', 'hi', 'name']",is that serious how you spell hi name,0
21,ham,Iâ°ÃÃ·m going to try for 2 months ha ha only joking,iâ°ãã·m going to try for 2 months ha ha only joking,"['iâ\x80°ã\x9bã·m', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']","['iâ\x80°ã\x9bã·m', 'go', 'to', 'tri', 'for', '2', 'month', 'ha', 'ha', 'onli', 'joke']",iâ°ãã·m go to tri for month ha ha onli joke,0
22,ham,So Ã_ pay first lar... Then when is da stock comin...,so ã pay first lar then when is da stock comin,"['so', 'ã\x8c', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']","['so', 'ã\x8c', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']",so ã pay first lar then when is da stock comin,0
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,"['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']","['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']",aft finish my lunch then go str down lor ard smth lor finish ur lunch alreadi,0
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up with you sooner,"['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']","['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']",ffffffffff alright no way can meet up with you sooner,0
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,"['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'im', 'really', 'not', 'hungry', 'tho', 'this', 'sucks', 'mark', 'is', 'getting', 'worried', 'he', 'knows', 'im', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']","['just', 'forc', 'myself', 'to', 'eat', 'a', 'slice', 'im', 'realli', 'not', 'hungri', 'tho', 'thi', 'suck', 'mark', 'is', 'get', 'worri', 'he', 'know', 'im', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']",just forc myself to eat slice im realli not hungri tho thi suck mark is get worri he know im sick when turn down pizza lol,0
26,ham,Lol your always so convincing.,lol your always so convincing,"['lol', 'your', 'always', 'so', 'convincing']","['lol', 'your', 'alway', 'so', 'convinc']",lol your alway so convinc,0
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love ,"['did', 'you', 'catch', 'the', 'bus', '', 'are', 'you', 'frying', 'an', 'egg', '', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eating', 'your', 'moms', 'left', 'over', 'dinner', '', 'do', 'you', 'feel', 'my', 'love', '']","['did', 'you', 'catch', 'the', 'bu', '', 'are', 'you', 'fri', 'an', 'egg', '', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eat', 'your', 'mom', 'left', 'over', 'dinner', '', 'do', 'you', 'feel', 'my', 'love', '']",did you catch the bu are you fri an egg did you make tea are you eat your mom left over dinner do you feel my love,0
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",im back amp were packing the car now ill let you know if theres room,"['im', 'back', 'amp', 'were', 'packing', 'the', 'car', 'now', 'ill', 'let', 'you', 'know', 'if', 'theres', 'room']","['im', 'back', 'amp', 'were', 'pack', 'the', 'car', 'now', 'ill', 'let', 'you', 'know', 'if', 'there', 'room']",im back amp were pack the car now ill let you know if there room,0
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vaguely remember that what does it feel like lol,"['ahhh', 'work', 'i', 'vaguely', 'remember', 'that', 'what', 'does', 'it', 'feel', 'like', 'lol']","['ahhh', 'work', 'i', 'vagu', 'rememb', 'that', 'what', 'doe', 'it', 'feel', 'like', 'lol']",ahhh work vagu rememb that what doe it feel like lol,0
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,"['wait', 'thats', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'thats', 'why', 'x', 'doesnt', 'want', 'to', 'live', 'with', 'us']","['wait', 'that', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'be', 'sarcast', 'or', 'that', 'that', 'whi', 'x', 'doesnt', 'want', 'to', 'live', 'with', 'us']",wait that still not all that clear were you not sure about me be sarcast or that that whi doesnt want to live with us,0
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you,"['yeah', 'he', 'got', 'in', 'at', '2', 'and', 'was', 'v', 'apologetic', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'till', '2', 'but', 'we', 'wont', 'go', 'there', 'not', 'doing', 'too', 'badly', 'cheers', 'you']","['yeah', 'he', 'got', 'in', 'at', '2', 'and', 'wa', 'v', 'apologet', 'n', 'had', 'fallen', 'out', 'and', 'she', 'wa', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'till', '2', 'but', 'we', 'wont', 'go', 'there', 'not', 'do', 'too', 'badli', 'cheer', 'you']",yeah he got in at and wa apologet had fallen out and she wa actin like spoilt child and he got caught up in that till but we wont go there not do too badli cheer you,0
32,ham,K tell me anything about you.,k tell me anything about you,"['k', 'tell', 'me', 'anything', 'about', 'you']","['k', 'tell', 'me', 'anyth', 'about', 'you']",tell me anyth about you,0
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear of fainting with the of all that housework you just did quick have a cuppa,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'quick', 'have', 'a', 'cuppa']","['for', 'fear', 'of', 'faint', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'quick', 'have', 'a', 'cuppa']",for fear of faint with the of all that housework you just did quick have cuppa,0
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged Ã¥Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged ã¥â£5month please confirm by replying yes or no if you reply no you will not be charged,"['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charged', 'ã¥â£5month', 'please', 'confirm', 'by', 'replying', 'yes', 'or', 'no', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charged']","['thank', 'for', 'your', 'subscript', 'to', 'rington', 'uk', 'your', 'mobil', 'will', 'be', 'charg', 'ã¥â£5month', 'pleas', 'confirm', 'by', 'repli', 'ye', 'or', 'no', 'if', 'you', 'repli', 'no', 'you', 'will', 'not', 'be', 'charg']",thank for your subscript to rington uk your mobil will be charg ã¥â£5month pleas confirm by repli ye or no if you repli no you will not be charg,1
35,ham,Yup... Ok i go home look at the timings then i msg Ã_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at the timings then i msg ã again xuhui going to learn on 2nd may too but her lesson is at 8am,"['yup', 'ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'ã\x8c', 'again', 'xuhui', 'going', 'to', 'learn', 'on', '2nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', '8am']","['yup', 'ok', 'i', 'go', 'home', 'look', 'at', 'the', 'time', 'then', 'i', 'msg', 'ã\x8c', 'again', 'xuhui', 'go', 'to', 'learn', 'on', '2nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', '8am']",yup ok go home look at the time then msg ã again xuhui go to learn on 2nd may too but her lesson is at 8am,0
36,ham,"Oops, I'll let you know when my roommate's done",oops ill let you know when my roommates done,"['oops', 'ill', 'let', 'you', 'know', 'when', 'my', 'roommates', 'done']","['oop', 'ill', 'let', 'you', 'know', 'when', 'my', 'roommat', 'done']",oop ill let you know when my roommat done,0
37,ham,I see the letter B on my car,i see the letter b on my car,"['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']","['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']",see the letter on my car,0
38,ham,Anything lor... U decide...,anything lor u decide,"['anything', 'lor', 'u', 'decide']","['anyth', 'lor', 'u', 'decid']",anyth lor decid,0
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,"['hello', 'hows', 'you', 'and', 'how', 'did', 'saturday', 'go', 'i', 'was', 'just', 'texting', 'to', 'see', 'if', 'youd', 'decided', 'to', 'do', 'anything', 'tomo', 'not', 'that', 'im', 'trying', 'to', 'invite', 'myself', 'or', 'anything']","['hello', 'how', 'you', 'and', 'how', 'did', 'saturday', 'go', 'i', 'wa', 'just', 'text', 'to', 'see', 'if', 'youd', 'decid', 'to', 'do', 'anyth', 'tomo', 'not', 'that', 'im', 'tri', 'to', 'invit', 'myself', 'or', 'anyth']",hello how you and how did saturday go wa just text to see if youd decid to do anyth tomo not that im tri to invit myself or anyth,0
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,"['pls', 'go', 'ahead', 'with', 'watts', 'i', 'just', 'wanted', 'to', 'be', 'sure', 'do', 'have', 'a', 'great', 'weekend', 'abiola']","['pl', 'go', 'ahead', 'with', 'watt', 'i', 'just', 'want', 'to', 'be', 'sure', 'do', 'have', 'a', 'great', 'weekend', 'abiola']",pl go ahead with watt just want to be sure do have great weekend abiola,0
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy,"['did', 'i', 'forget', 'to', 'tell', 'you', '', 'i', 'want', 'you', '', 'i', 'need', 'you', 'i', 'crave', 'you', '', 'but', 'most', 'of', 'all', '', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', '', 'mmmmmm', '', 'yummy']","['did', 'i', 'forget', 'to', 'tell', 'you', '', 'i', 'want', 'you', '', 'i', 'need', 'you', 'i', 'crave', 'you', '', 'but', 'most', 'of', 'all', '', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', '', 'mmmmmm', '', 'yummi']",did forget to tell you want you need you crave you but most of all love you my sweet arabian steed mmmmmm yummi,0
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now 08000930705 for delivery tomorrow,"['07732584351', '', 'rodger', 'burns', '', 'msg', '', 'we', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'a', 'free', 'nokia', 'mobile', '', 'free', 'camcorder', 'please', 'call', 'now', '08000930705', 'for', 'delivery', 'tomorrow']","['07732584351', '', 'rodger', 'burn', '', 'msg', '', 'we', 'tri', 'to', 'call', 'you', 're', 'your', 'repli', 'to', 'our', 'sm', 'for', 'a', 'free', 'nokia', 'mobil', '', 'free', 'camcord', 'pleas', 'call', 'now', '08000930705', 'for', 'deliveri', 'tomorrow']",07732584351 rodger burn msg we tri to call you re your repli to our sm for free nokia mobil free camcord pleas call now 08000930705 for deliveri tomorrow,1
43,ham,WHO ARE YOU SEEING?,who are you seeing,"['who', 'are', 'you', 'seeing']","['who', 'are', 'you', 'see']",who are you see,0
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope you like your man well endowed i am  ltgt  inches,"['great', 'i', 'hope', 'you', 'like', 'your', 'man', 'well', 'endowed', 'i', 'am', '', 'ltgt', '', 'inches']","['great', 'i', 'hope', 'you', 'like', 'your', 'man', 'well', 'endow', 'i', 'am', '', 'ltgt', '', 'inch']",great hope you like your man well endow am ltgt inch,0
45,ham,No calls..messages..missed calls,no callsmessagesmissed calls,"['no', 'callsmessagesmissed', 'calls']","['no', 'callsmessagesmiss', 'call']",no callsmessagesmiss call,0
46,ham,Didn't you get hep b immunisation in nigeria.,didnt you get hep b immunisation in nigeria,"['didnt', 'you', 'get', 'hep', 'b', 'immunisation', 'in', 'nigeria']","['didnt', 'you', 'get', 'hep', 'b', 'immunis', 'in', 'nigeria']",didnt you get hep immunis in nigeria,0
47,ham,"Fair enough, anything going on?",fair enough anything going on,"['fair', 'enough', 'anything', 'going', 'on']","['fair', 'enough', 'anyth', 'go', 'on']",fair enough anyth go on,0
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully if tyler cant do it i could maybe ask around a bit,"['yeah', 'hopefully', 'if', 'tyler', 'cant', 'do', 'it', 'i', 'could', 'maybe', 'ask', 'around', 'a', 'bit']","['yeah', 'hope', 'if', 'tyler', 'cant', 'do', 'it', 'i', 'could', 'mayb', 'ask', 'around', 'a', 'bit']",yeah hope if tyler cant do it could mayb ask around bit,0
